1;Fernando Alonso;2261;2001-2023;*
2;Michael Schumacher;1556;1991-2012
3;Kimi Raikkönen;1875;2001-2021;*
4;Rubens Barrichello;652;1993-2011
5;Jenson Button;1235;2000-2017
6;Graham Hill;289;1958-1975
7;Lewis Hamilton;4607;2007-2023;*
8;Riccardo Patrese;281;1977-1993
9;Sebastian Vettel;3098;2007-2022;*
10;Nigel Mansell;482;1980-1995
11;Felipe Massa;1162;2002-2017;*
12;Robert Kubica;274;2006-2021;*
13;Jack Brabham;260;1955-1970
14;Niki Lauda;420;1971-1985
15;David Coulthard;535;1994-2008
16;Jarno Trulli;246;1997-2011
17;Alain Prost;798;1980-1993
18;Gerhard Berger;385;1984-1997
19;Nico Hülkenberg;533;2010-2023;*
20;Nelson Piquet;485;1978-1991
21;Giancarlo Fisichella;275;1996-2009
22;Sergio Perez;1434;2011-2023;*
23;Daniel Ricciardo;1319;2011-2023;*
24;Jean Alesi;241;1989-2001
25;Nick Heidfeld;258;2000-2011
26;Mark Webber;1048;2002-2013;*
27;Romain Grosjean;397;2009-2020;*
28;Carlos Reutemann;310;1972-1982
29;Valtteri Bottas;1799;2013-2023;*
30;Nico Rosberg;1593;2006-2016;*
31;Ayrton Senna;614;1984-1994
32;Emerson Fittipaldi;281;1970-1980
33;Mika Hakkinen;420;1991-2001
34;Ralf Schumacher;329;1997-2007
35;Jacques Villeneuve;232;1996-2006
36;Denny Hulme;248;1965-1974
37;Carlos Sainz Jr;938;2015-2023;*
38;Max Verstappen;2469;2015-2023;*
39;Jim Clark;274;1960-1968
40;Juan Manuel Fangio;270;1950-1958
41;Jackie Stewart;360;1965-1973
42;Jody Scheckter;255;1972-1980
43;Damon Hill;360;1992-1999
44;Esteban Ocon;415;2016-2023;*
45;Pierre Gasly;388;2017-2023;*
46;Lance Stroll;236;2017-2023;*
47;Charles Leclerc;1010;2018-2023;*
48;Juan Pablo Montoya;303;2001-2006;*
49;Lando Norris;570;2019-2023;*
50;George Russell;426;2019-2023;*
